repo_full_name,owned_services,supporting_services,contract_services,canonical_status
SociOS-Linux/SourceOS,-,svc.managed.desktop-shell,-,primary
SociOS-Linux/agentos-spine,svc.managed.agentos,-,svc.managed.agentos,primary
SociOS-Linux/agentos-starter,-,svc.managed.agentos,-,primary
SociOS-Linux/cloudshell-fog,svc.managed.cloudshell-fog,-,svc.managed.cloudshell-fog,primary
SociOS-Linux/embeddinglab,svc.managed.labs,svc.product.model-training,-,primary
SociOS-Linux/enhancements,-,svc.managed.workstation-automation,-,primary
SociOS-Linux/graphlab,-,"svc.managed.labs,svc.product.model-training",-,primary
SociOS-Linux/imagelab,-,svc.managed.labs,-,primary
SociOS-Linux/nlboot,svc.managed.boot-evidence,svc.substrate.boot-release,-,primary
SociOS-Linux/nlplab,-,"svc.managed.labs,svc.product.model-training",-,primary
SociOS-Linux/ocrlab,-,svc.managed.labs,-,primary
SociOS-Linux/shortcut-overlay,svc.managed.ux-overlay,-,-,primary
SociOS-Linux/socios,svc.managed.workstation-automation,svc.app.socios-web,-,primary
SociOS-Linux/socios-ignition,-,svc.managed.workstation-automation,-,primary
SociOS-Linux/socios-installer,-,svc.managed.workstation-automation,-,primary
SociOS-Linux/socioslinux-web,svc.app.socios-web,"svc.substrate.lampstand-search,svc.managed.desktop-shell",-,primary
SociOS-Linux/source-os,svc.managed.desktop-shell,-,-,primary
SociOS-Linux/speechlab,-,svc.managed.labs,-,primary
SociOS-Linux/timeserieslab,-,svc.managed.labs,-,primary
SociOS-Linux/translationlab,-,svc.managed.labs,-,primary
SociOS-Linux/videolab,-,svc.managed.labs,-,primary
SociOS-Linux/workstation-contracts,-,svc.managed.boot-evidence,"svc.managed.workstation-automation,svc.managed.boot-evidence,svc.managed.desktop-shell,svc.app.socios-web",primary
SocioProphet/Heller-Dirac,-,svc.product.research-program,-,primary
SocioProphet/Heller-Einstein,-,svc.product.research-program,-,primary
SocioProphet/Heller-Godel,-,svc.product.research-program,-,primary
SocioProphet/Heller-Winters-Theorem,-,svc.product.research-program,-,primary
SocioProphet/HolographMe,-,svc.product.professional-intelligence,-,primary
SocioProphet/Noetica,-,svc.platform.agent-runtime,-,primary
SocioProphet/ProCybernetica,svc.platform.cybernetic-governance,-,-,primary
SocioProphet/SCOPE-D,svc.product.scope-d,svc.platform.policy-guardrail,-,primary
SocioProphet/TriTRPC,svc.platform.protocol-contract,-,-,primary
SocioProphet/agent-inbox,-,"svc.platform.agent-runtime,svc.product.workroom",-,primary
SocioProphet/agent-registry,-,svc.platform.agent-runtime,-,primary
SocioProphet/agentplane,svc.platform.agent-runtime,"svc.platform.compute-mesh,svc.product.prophet-lattice,svc.product.workroom",-,primary
SocioProphet/alexandrian-academy,svc.product.academy,-,-,primary
SocioProphet/api-contracts,-,"svc.workspace.standards,svc.platform.protocol-contract",-,primary
SocioProphet/bsd-proof-program,-,svc.product.research-program,-,primary
